Class,class_num,Species,CHM,GreenVariance,GreenSkewness,GreenEntropy,GreenBand2,BlueBand3,RedBand1
shrub,1,sagebrush,-29.9412193,5.3342385,-0.0224206,5.3342385,55,55,55
shrub,1,sagebrush,-30.7098217,5.3648844,-0.3341922,5.3648844,97,92,95
shrub,1,sagebrush,-14.5834675,5.3479152,0.2887392,5.3479152,162,152,159
shrub,1,sagebrush,-3.3203881,5.3896403,-0.1085459,5.3896403,124,127,120
shrub,1,sagebrush,4.1613245,5.3517904,0.27818,5.3517904,81,68,79
shrub,1,sagebrush,-0.7926896,5.3721633,-0.4719984,5.3721633,178,160,171
shrub,1,sagebrush,-11.0498505,5.403151,-0.594887,5.403151,167,152,159
shrub,1,sagebrush,-15.4622316,5.3828616,0.1555746,5.3828616,155,158,150
shrub,1,sagebrush,107.7508316,5.384552,-0.1549805,5.384552,176,144,171
shrub,1,sagebrush,-29.1019173,5.3941121,-0.6798869,5.3941121,180,158,168
shrub,1,sagebrush,-7.7985244,5.3288789,0.5123745,5.3288789,120,123,116
shrub,1,sagebrush,47.4988174,5.3889389,-0.1809619,5.3889389,180,160,172
shrub,1,sagebrush,3.1240904,5.3212681,0.9539378,5.3212681,64,63,62
shrub,1,sagebrush,-13.5587521,5.3933902,-0.5922858,5.3933902,164,156,164
shrub,1,sagebrush,36.4326782,5.3492551,-0.4455083,5.3492551,166,158,155
shrub,1,sagebrush,5.3089876,5.2741456,0.800611,5.2741456,55,52,53
shrub,1,sagebrush,-16.7803001,5.3801599,-0.1250717,5.3801599,180,182,179
shrub,1,sagebrush,0.2386067,5.3981061,-0.1267028,5.3981061,134,135,136
shrub,1,sagebrush,-13.4346304,5.3386893,0.4976544,5.3386893,99,87,97
shrub,1,sagebrush,7.3099809,5.3832598,-0.2114231,5.3832598,109,97,106
shrub,1,sagebrush,-27.641304,5.3769612,-0.6777709,5.3769612,96,93,94
shrub,1,sagebrush,94.8573303,5.345686,0.706365,5.345686,57,56,55
shrub,1,sagebrush,-10.1706972,5.3624153,0.5128661,5.3624153,92,94,91
shrub,1,sagebrush,-63.615593,5.4056783,-0.7900997,5.4056783,174,167,170
shrub,1,sagebrush,17.5823517,5.3855186,-0.3271125,5.3855186,85,71,73
shrub,1,sagebrush,-38.0141945,5.394937,-1.1236664,5.394937,195,175,187
shrub,1,sagebrush,31.0245991,5.3264799,0.6057438,5.3264799,156,158,155
shrub,1,sagebrush,-16.6712646,5.3471794,-0.4078715,5.3471794,103,93,96
shrub,1,sagebrush,4.233108,5.3740153,-0.4021563,5.3740153,149,133,138
shrub,1,sagebrush,-37.7905922,5.3289547,0.3878202,5.3289547,49,51,48
shrub,1,sagebrush,-8.038331,5.3805747,-0.2814324,5.3805747,157,132,148
shrub,1,sagebrush,-56.9394608,5.3861122,-1.2213256,5.3861122,162,152,160
shrub,1,sagebrush,-10.4513445,5.3580003,0.14423,5.3580003,107,109,106
shrub,1,sagebrush,13.4089718,5.352612,0.0397576,5.352612,222,220,217
shrub,1,sagebrush,-6.8864317,5.3925376,-0.8505923,5.3925376,161,131,152
shrub,1,sagebrush,-2.6842999,5.4088531,-0.6299127,5.4088531,163,149,161
shrub,1,sagebrush,-13.6984863,5.3773079,-1.1010604,5.3773079,168,148,160
shrub,1,sagebrush,-16.7121429,5.3390408,-0.0579009,5.3390408,180,166,178
shrub,1,sagebrush,-24.4403915,5.3678923,0.3248385,5.3678923,119,122,115
shrub,1,sagebrush,0.8982346,5.3927908,0.3118456,5.3927908,157,159,146
shrub,1,sagebrush,-31.2186966,5.3843403,-0.6467107,5.3843403,168,146,163
shrub,1,sagebrush,-12.8410454,5.2973261,0.1633418,5.2973261,194,188,193
shrub,1,sagebrush,-16.4500637,5.3607769,0.0093772,5.3607769,149,159,142
shrub,1,sagebrush,-17.3423119,5.32972,0.1361133,5.32972,204,201,195
shrub,1,sagebrush,-3.3601973,5.4009986,-0.4496727,5.4009986,164,168,161
shrub,1,sagebrush,-29.0405369,5.3902044,-0.795367,5.3902044,194,170,186
shrub,1,sagebrush,-19.8466606,5.3382101,0.3563087,5.3382101,119,114,118
shrub,1,sagebrush,21.14501,5.3836083,-0.402117,5.3836083,155,158,147
shrub,1,sagebrush,16.2380447,5.3388066,-0.2019765,5.3388066,95,91,97
shrub,1,sagebrush,-47.4431534,5.4084058,-0.1309993,5.4084058,129,116,123
shrub,1,sagebrush,37.3893013,5.3415747,-0.0248831,5.3415747,114,113,106
shrub,1,sagebrush,13.8990297,5.3073945,0.4357079,5.3073945,72,62,65
shrub,1,sagebrush,-0.2918772,5.3887453,-0.5445431,5.3887453,166,164,167
shrub,1,sagebrush,-4.295289,5.3479691,-0.0561577,5.3479691,175,154,170
shrub,1,sagebrush,-11.9148436,5.2406259,1.3873007,5.2406259,48,50,44
shrub,1,sagebrush,-33.1909447,5.3811316,-0.4734884,5.3811316,176,169,171
shrub,1,sagebrush,-3.2126336,5.3585095,-0.1423519,5.3585095,41,34,36
shrub,1,sagebrush,-17.6886845,5.2913227,0.3759808,5.2913227,41,41,35
shrub,1,sagebrush,-24.4973125,5.2478571,0.5086616,5.2478571,41,40,39
shrub,1,sagebrush,-48.4154396,5.3556643,0.3801729,5.3556643,153,147,148
shrub,1,sagebrush,-16.7628555,5.320436,0.4261087,5.320436,73,54,65
shrub,1,sagebrush,-19.9606857,5.3550024,0.0330364,5.3550024,112,108,113
shrub,1,sagebrush,-14.4954319,5.3548303,-0.0239688,5.3548303,180,177,184
shrub,1,sagebrush,-27.3667107,5.4004655,-0.6186007,5.4004655,191,166,181
shrub,1,sagebrush,-33.5717201,5.3790064,-0.0885231,5.3790064,111,115,104
shrub,1,sagebrush,-0.8897005,5.3735619,-0.2797681,5.3735619,178,184,175
shrub,1,sagebrush,6.1323962,5.3836589,0.0978844,5.3836589,117,116,114
shrub,1,sagebrush,101.1351089,5.3732038,0.3139501,5.3732038,102,104,101
shrub,1,sagebrush,-18.476263,5.3698149,0.5078634,5.3698149,112,117,113
shrub,1,sagebrush,21.0310879,5.3456426,0.4171325,5.3456426,149,148,145
shrub,1,sagebrush,-15.3723307,5.3608484,-0.0929525,5.3608484,78,85,69
shrub,1,sagebrush,0.23418,5.3317032,0.140623,5.3317032,78,76,72
shrub,1,sagebrush,15.4114456,5.3987432,-0.2833659,5.3987432,162,146,158
shrub,1,sagebrush,-19.7182713,5.397563,-0.3653032,5.397563,142,123,133
shrub,1,sagebrush,91.5628433,5.3748822,-0.5360374,5.3748822,212,202,206
shrub,1,sagebrush,-15.1125231,5.3809958,-0.2492205,5.3809958,173,169,167
shrub,1,sagebrush,-26.8603592,5.3921804,-0.1332566,5.3921804,105,109,94
shrub,1,sagebrush,-5.1863575,5.3834515,-0.4625726,5.3834515,176,145,169
shrub,1,sagebrush,-31.7477894,5.3161588,0.5995179,5.3161588,108,95,105
shrub,1,sagebrush,-18.7120438,5.3735809,-0.3615143,5.3735809,79,72,78
shrub,1,sagebrush,6.7284207,5.3838959,-0.1597418,5.3838959,103,103,101
shrub,1,sagebrush,-21.321249,5.3288894,0.4027992,5.3288894,52,49,50
shrub,1,sagebrush,-4.9753509,5.2977929,0.6146497,5.2977929,31,24,26
shrub,1,sagebrush,-31.8288441,5.3822331,0.3505752,5.3822331,82,78,76
shrub,1,sagebrush,-60.8271675,5.3773103,-0.1507781,5.3773103,201,175,191
shrub,1,sagebrush,-13.5582819,5.2868752,0.661849,5.2868752,95,94,91
shrub,1,sagebrush,5.8644671,5.3783679,0.0497301,5.3783679,99,91,99
shrub,1,sagebrush,-4.0958529,5.3869381,-0.7023329,5.3869381,172,167,170
shrub,1,sagebrush,-12.5432959,5.3794279,0.1951462,5.3794279,145,140,144
shrub,1,sagebrush,-17.0175419,5.3590012,-0.1771939,5.3590012,165,168,160
shrub,1,sagebrush,-8.872014,5.3963876,-0.9464536,5.3963876,147,149,146
shrub,1,sagebrush,-56.181675,5.3911066,-0.427728,5.3911066,139,120,130
shrub,1,sagebrush,-8.9655037,5.3001575,0.5069838,5.3001575,158,161,155
shrub,1,sagebrush,4.5853119,5.407948,-0.440617,5.407948,195,176,188
shrub,1,sagebrush,-17.3668041,5.3142986,0.1933695,5.3142986,133,131,133
shrub,1,sagebrush,21.0371914,5.4053974,-0.5933172,5.4053974,185,164,182
shrub,1,sagebrush,-28.1175079,5.3631396,-0.2197481,5.3631396,129,122,128
shrub,1,sagebrush,61.5836029,5.3796306,-0.0971806,5.3796306,115,93,110
shrub,1,sagebrush,-24.3686867,5.3664331,0.9288196,5.3664331,164,164,164
shrub,1,sagebrush,68.0942154,5.3334351,0.6531131,5.3334351,43,25,36
shrub,1,sagebrush,-12.430233,5.3636398,-0.0961266,5.3636398,214,200,210
shrub,1,sagebrush,13.0225782,5.276792,0.7656697,5.276792,70,65,69
shrub,1,sagebrush,54.4289703,5.3770671,-0.4687271,5.3770671,88,70,79
shrub,1,sagebrush,-0.560511,5.3923573,-0.2346403,5.3923573,83,70,82
shrub,1,sagebrush,-48.1522446,5.3286037,1.068167,5.3286037,56,50,49
shrub,1,sagebrush,56.2836151,5.3393617,0.2592843,5.3393617,66,59,61
shrub,1,sagebrush,-25.8104782,5.3070722,0.6439454,5.3070722,68,61,67
shrub,1,sagebrush,-36.8480415,5.3758645,-0.2162828,5.3758645,144,146,143
shrub,1,sagebrush,-1.596288,5.3897328,-0.1487918,5.3897328,118,107,115
shrub,1,sagebrush,8.7779646,5.3047686,0.4234432,5.3047686,203,207,197
shrub,1,sagebrush,60.7954063,5.3578787,-0.162763,5.3578787,188,166,176
shrub,1,sagebrush,53.7853584,5.3549304,0.2807401,5.3549304,76,61,69
shrub,1,sagebrush,-8.2025604,5.3928385,0.234322,5.3928385,189,193,183
shrub,1,sagebrush,-4.8436313,5.390028,-0.005698,5.390028,126,125,122
